,timestamp,message type,message
845,9784,Sendyne,"[1, '0x0', '0x20', ' ', 'Current', ' ', 0.052919, ' ', [32, 0, 0, 206, 183]]"
846,9786,SHDN_Heartbeat,"[1, '0b1']"
847,9801,PDM_Heartbeat,0b11100111011101110111111111011011
848,9808,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
849,9833,SHDN_Heartbeat,"[1, '0b0']"
850,9850,PDM_Heartbeat,0b11100111011101110111111111011011
851,9861,SHDN_Heartbeat,"[1, '0b1']"
852,9883,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
853,9901,PDM_Heartbeat,0b11100111011101110111000011011011
854,9908,SHDN_Heartbeat,"[1, '0b0']"
855,9936,SHDN_Heartbeat,"[1, '0b1']"
856,9950,PDM_Heartbeat,0b11100111011101110111111111011011
857,9958,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
858,9971,BMS_TransmitTemperature,"['BMSID: ', 0, ' MSGID: ', 0, ' TEMPS: ', '23, 24, 24, 24, 23']"
859,9971,BMS_TransmitTemperature,"['BMSID: ', 0, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 24, 24']"
860,9983,SHDN_Heartbeat,"[1, '0b0']"
861,10001,PDM_Heartbeat,0b11100111011101110111111111011011
862,10010,SHDN_Heartbeat,"[1, '0b1']"
863,10031,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 0, ' TEMPS: ', '23, 23, 24, 23, 23']"
864,10031,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3318, 3329, 3329, 3328']"
865,10032,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3318, 3332, 3332, 3331']"
866,10032,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3328, 3321, 3329, 3329']"
867,10032,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3328, 3317, 0, 0']"
868,10033,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3331, 3320, 3332, 3332']"
869,10033,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3332, 3313, 0, 0']"
870,10033,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
871,10033,Sendyne,"[0, '0x0', '0x40', ' ', 'Coulomb Count (Low)', ' ', 706328, ' ', [64, 0, 10, 199, 24]]"
872,10033,Sendyne,"[0, '0x0', '0x41', ' ', 'Coulomb Count (High)', ' ', 0, ' ', [65, 0, 0, 0, 0]]"
873,10034,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 0, ' TEMPS: ', '22, 24, 24, 24, 23']"
874,10034,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 26, 24, 24']"
875,10034,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 1, ' TEMPS: ', '24, 23, 24, 24, 25']"
876,10035,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 0, ' TEMPS: ', '22, 24, 24, 24, 22']"
877,10035,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3322, 3335, 3335, 3335']"
878,10035,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3316, 3329, 3328, 3329']"
879,10035,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3330, 3316, 3331, 3330']"
880,10036,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3329, 3320, 0, 0']"
881,10036,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3326, 3317, 3332, 3329']"
882,10036,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3329, 3312, 0, 0']"
883,10036,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 24, 24']"
884,10051,PDM_Heartbeat,0b11100111011101110111111111011011
885,10058,SHDN_Heartbeat,"[1, '0b0']"
886,10085,SHDN_Heartbeat,"[1, '0b1']"
887,10102,PDM_Heartbeat,0b11100111011101110111111111011011
888,10108,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
889,10133,SHDN_Heartbeat,"[1, '0b0']"
890,10151,PDM_Heartbeat,0b11100111011101110111111111011011
891,10160,SHDN_Heartbeat,"[1, '0b1']"
892,10183,AMS_Heartbeat,"['runtime: 2071 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
893,10184,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
894,10189,Sendyne,"[0, '0x0', '0x20', ' ', 'Current', ' ', 0.051208, ' ', [32, 0, 0, 200, 8]]"
895,10190,Sendyne,"[1, '0x0', '0x20', ' ', 'Current', ' ', 0.051208, ' ', [32, 0, 0, 200, 8]]"
896,10202,PDM_Heartbeat,0b11100111011101110111111111011011
897,10208,SHDN_Heartbeat,"[1, '0b0']"
898,10234,SHDN_Heartbeat,"[1, '0b1']"
899,10235,Sendyne,"[0, '0x0', '0x60', ' ', 'Voltage 1', ' ', 4232.519476, ' ', [96, 252, 71, 31, 52]]"
900,10235,Sendyne,"[1, '0x0', '0x60', ' ', 'Voltage 1', ' ', 4232.519476, ' ', [96, 252, 71, 31, 52]]"
901,10251,PDM_Heartbeat,0b11100111011101110111111111011011
902,10259,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
903,10283,SHDN_Heartbeat,"[1, '0b0']"
904,10302,PDM_Heartbeat,0b11100111011101110111111111011011
905,10309,SHDN_Heartbeat,"[1, '0b1']"
906,10333,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
907,10351,PDM_Heartbeat,0b11100111011101110111111111011011
908,10358,SHDN_Heartbeat,"[1, '0b0']"
909,10384,SHDN_Heartbeat,"[1, '0b1']"
910,10385,Sendyne,"[0, '0x0', '0x40', ' ', 'Coulomb Count (Low)', ' ', 732883, ' ', [64, 0, 11, 46, 211]]"
911,10386,Sendyne,"[0, '0x0', '0x41', ' ', 'Coulomb Count (High)', ' ', 0, ' ', [65, 0, 0, 0, 0]]"
912,10402,PDM_Heartbeat,0b11100111011101110111111111011011
