timestamp,message type,message
14,PDM_InitiateStartup,
19,PDM_StartupOk,0b110010000000000000000000010
19,PDM_SetChannels,0b11100110011001110111111111011011
20,PDM_Heartbeat,0b110010000000000000000000010
29,PDM_SetDutyCycle,"['CHANNEL: ', 7, 'DUTY_CYCLE: ', 100]"
69,PDM_Heartbeat,0b11100110011001110111111101011011
110,SHDN_Heartbeat,"[1, '0b11111111']"
115,SHDN_Heartbeat,"[1, '0b1']"
120,PDM_Heartbeat,0b11100110011001110111111101011011
169,PDM_Heartbeat,0b11100110011001110111111101011011
185,SHDN_Heartbeat,"[1, '0b11111111']"
189,SHDN_Heartbeat,"[1, '0b1']"
220,PDM_Heartbeat,0b11100110011001110111111101011011
260,SHDN_Heartbeat,"[1, '0b11111111']"
264,SHDN_Heartbeat,"[1, '0b1']"
270,PDM_Heartbeat,0b11100110011001110111111101011011
